név;osztály;csoport;nem;hajszíne;heti zsebpénz;kedvenc tárgy;bukások száma;átlag;testvérek száma;szülhely;szüldátum;szülidő;lakcím;anyja szül. dátuma;apja szül. dátuma;állat1;állat2
Bencsik Andrea Réka;10.A;pénzügy;l;kék;7500;angol;0;2,5;0;Zalaegerszeg;2006.10.14;0:06:55;8900 Zalaegerszeg, Hegyalja u. 3/C. 1/5.;1982.01.30;1976.11.14;hörcsög;ló
Csécs Melissza;10.A;rendszergazda;l;kék;8500;fizika;2;1;0;Zalaegerszeg;2007.06.17;9:00:32;8948 Nova, Ságvári E. u. 30;1965.06.14;1969.02.11;tyúk;patkány
Gál Orsolya;10.A;szoftverfejlesztő;l;szőke;4000;rajz;2;1;2;Zalaegerszeg;2007.02.06;6:20:27;8992 Bagod, Szent Erzsébet utca 25.;1985.06.02;1959.01.10;ló;hal
Gombos Vilmos Patrik;10.A;rendszergazda;f;barna;9000;biológia;0;3,26;0;Zalaegerszeg;2007.05.11;18:23:14;8992 Hagyárosbörönd, Kossuth utca 26/B;1984.11.08;1970.05.11;hörcsög;kígyó
Guitman Gabriella;10.A;számvitel-gazdálkodás;l;szőke;3500;angol;0;3,05;0;Zalaegerszeg;2007.03.02;10:15:55;8900 Zalaegerszeg, Egry J. utca 2.;1983.06.01;1958.01.02;ló;hal
Halpert László;10.A;pénzügy;f;szőke;4000;fizika;4;1;0;Zalaegerszeg;2007.03.18;9:34:46;8900 Zalaegerszeg, Belsőszeg u. 23.;1975.12.20;1967.01.09;kacsa;kígyó
Himpelmann Bence;10.A;számvitel-gazdálkodás;f;szőke;7000;rajz;0;4,99;0;Zalaegerszeg;2006.06.26;3:41:53;8900 Zalaegerszeg, Paperdő u. 16.;1971.09.17;1967.12.23;;
Holli Mátyás László;10.A;számvitel-gazdálkodás;f;fekete;6000;német;0;4,01;1;Zalaegerszeg;2006.07.01;1:49:17;8900 Zalaegerszeg, Virág u. 23.;1980.12.29;1973.03.09;;
Imre Dóra;10.A;pénzügy;l;barna;8500;történelem;0;2,51;2;Zalaegerszeg;2006.08.05;11:26:00;8999 Zalalövő, Jókai u. 46.;1989.02.09;1963.10.31;teknős;hal
Janda Marcell;10.A;számvitel-gazdálkodás;f;kék;8000;fizika;0;3,39;0;Zalaegerszeg;2006.08.13;12:37:01;9913 Szarvaskend, Iskola u. 19. B.;1970.08.16;1961.04.03;vadászgörény;patkány
Juranovics Bianka;10.A;számvitel-gazdálkodás;l;fekete;9500;matematika;2;1;1;Zalaegerszeg;2005.11.12;16:24:21;8761 Pacsa, Jókai M.u. 21.;1980.08.11;1957.06.07;;
Kardos Benita Eszter;10.A;számvitel-gazdálkodás;l;szőke;4000;rajz;2;1;2;Zalaegerszeg;2007.08.24;9:57:28;8761 Pacsa, Petőfi S. u. 13.;1976.11.20;1957.04.19;vadászgörény;
Kiss Klaudia;10.A;pénzügy;l;fekete;7000;informatika;0;2,93;0;Zalaegerszeg;2006.04.01;13:43:32;8900 Zalaegerszeg, Göcseji-Pataki F.u. 4.;1982.04.30;1964.06.13;kutya;teknős
Kocsis Gábor;10.A;pénzügy;f;vörös;3000;magyar;0;2,27;0;Körmend;2005.11.24;18:52:51;8999 Zalalövő, Széchenyi út 28.;1973.03.31;1952.06.22;vadászgörény;
Kuzma Martin Ferenc;10.A;rendszergazda;f;barna;9000;matematika;0;4,17;2;Zalaegerszeg;2006.01.23;16:22:40;8945 Bak, Kossuth utca 112.;1963.05.22;1966.05.25;kutya;hörcsög
Majoros Andrea Nikolett;10.A;számvitel-gazdálkodás;l;barna;6000;magyar;0;3,14;1;Zalaegerszeg;2007.07.29;21:29:08;8911 Kiskutas, Fő u. 1/G.;1968.07.06;1960.01.09;ló;vadászgörény
Molnár Zoltán;10.A;rendszergazda;f;fekete;3500;földrajz;0;3,93;1;Zalaegerszeg;2006.12.24;9:06:57;8900 Zalaegerszeg, Hegyalja út 19. fsz. 1.;1972.09.06;1970.08.20;ló;hörcsög
